"field_ID","Lab_ID","V4","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V22","V23","V24","V25","V26","V27","V28","V29","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V45","V46","V47","V49","V59","V67","V71","V73","V74","V75","V80","V82","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153"
"165_009_102","23_110",1510,203,18,NA,NA,1020,NA,NA,310,94.2,NA,NA,5990,952,1480,NA,832,NA,129,8210,NA,2910,105,3100,808,2600,44.4,NA,6240,281,NA,843,1290,5270,531,291,4510,9620,20100,22900,10700,6290,1290,3300,2830,1140,9520,3760,8690,170000,NA,37.2,8460,134000,506,1680,2720,498,10.9,NA,6560,NA,416,1550,9080,NA,1370,30.9,691,669,657,332,144,NA,1210,27.8,568,NA,1620,NA,882,141,247,1420,NA,NA,NA,NA,2880,302,NA,99.6,NA,721,854,701,331,497,365,NA,513,276,89.7,1550,351,48.3,4.93,1040,202,3.1,23.5,65.9,28.1,NA
"165_009_105","23_067",NA,70.5,5.08,3.71,3.78,548,696,NA,130,78.8,80.4,NA,10400,NA,1760,153,NA,NA,NA,3030,NA,3030,60.2,1820,741,920,17.3,0.77,2490,339,NA,600,1180,4600,613,76.3,1930,3060,13000,17200,6100,4200,301,1240,735,221,6800,3140,5290,94600,NA,6.98,4700,78300,600,561,3300,283,0.31,1.78,2960,27.4,10.4,2110,NA,4770,1140,NA,290,493,215,122,350,NA,428,97,118,21,1480,NA,362,206,151,451,1190,NA,915,NA,935,831,91.1,77.7,34.9,140,614,205,65.6,118,220,329,120,201,314,20.8,1010,243,91,33,661,113,2.07,15.4,12.9,6.97
"165_009_107","23_025",1090,140,20,20.3,2.13,37.9,48.8,79.1,46.3,NA,13.2,3.35,474,NA,NA,353,NA,13.8,NA,7610,NA,3170,55.5,3810,1300,2820,55.3,NA,5880,118,NA,884,1410,2890,617,NA,2520,2640,9100,10400,6640,4400,511,1980,1100,615,6900,3730,5150,92800,NA,NA,4280,70100,693,997,2080,277,14.3,NA,3440,39.9,26.3,1650,NA,4420,878,46.6,NA,936,223,290,430,NA,856,20.2,412,NA,1270,414,330,126,469,742,958,287,NA,NA,NA,2960,1340,764,5.44,208,5840,254,123,424,216,273,199,511,197,1330,231,313,83.3,NA,458,2.79,23,31.4,11.7,14.5
"165_009_113","23_069",1410,219,27.9,NA,NA,564,NA,NA,70.9,NA,22.4,NA,8050,NA,1530,NA,552,NA,NA,3850,NA,3140,25.2,2200,1070,2070,17.2,NA,3200,243,NA,575,1540,9800,798,NA,4480,6390,17600,21000,13300,8940,825,2550,1530,1370,9730,4630,8230,153000,NA,30,6970,127000,1650,2060,3090,555,0.0846,5.02,4340,994,91.5,2700,10000,NA,1810,18.1,598,951,581,277,409,NA,598,100,235,NA,2160,NA,265,216,249,NA,1280,NA,NA,2500,1400,NA,229,96.1,109,258,1510,136,99.4,227,240,102,555,170,28.4,1170,NA,460,24.8,630,153,2.57,15.2,28.8,9.46,19.5
"165_009_135","23_134",2320,295,NA,NA,NA,411,639,NA,8.28,1.07,2.56,22.8,NA,1.27,67.5,NA,1.27,56,NA,3380,NA,231,53.4,1340,NA,1210,50.4,4.28,2440,472,NA,387,1590,15300,696,NA,2100,11700,19700,23100,19500,13300,2030,2000,687,NA,10200,2000,5970,121000,NA,64,3830,102000,2080,1770,2830,133,35.2,NA,5050,1530,2.68,3640,6340,NA,2430,1.64,NA,1380,470,297,489,NA,356,NA,209,NA,2920,8.18,499,131,122,1690,49.8,9.62,491,2020,3310,NA,180,310,138,346,783,227,255,213,604,305,129,288,21.4,654,NA,534,NA,1470,260,3.25,42.9,6.75,13,15.4
"165_009_172","23_242",4180,290,53.3,NA,NA,NA,NA,NA,10.6,NA,218,NA,NA,1.06,251,NA,465,NA,NA,21000,8.74,2000,352,6130,602,2280,138,NA,12500,447,NA,1180,3060,23300,691,NA,7330,16500,33600,34700,24100,17000,1970,2950,1700,NA,10400,4500,8310,159000,NA,199,6290,126000,2480,1810,4200,440,NA,NA,9740,221,193,4570,9980,NA,5090,22.6,633,1350,816,383,1230,290,553,NA,297,NA,2460,99.1,774,373,369,1740,728,462,NA,4040,1520,NA,110,172,129,258,692,113,132,180,478,NA,711,290,44.7,1420,323,42.6,NA,426,115,3.89,24,7.07,6.51,10.1
"165_009_185","23_105",1730,274,46.5,NA,23.8,114,179,NA,36.7,NA,145,NA,NA,NA,86.7,145,NA,44.9,NA,23400,NA,1000,197,6060,NA,2280,309,NA,15500,601,NA,778,3150,26000,591,NA,5590,8050,47300,57100,18700,12900,3100,4910,1540,742,21300,6620,12400,220000,NA,161,9080,179000,2860,1540,6930,590,NA,NA,7620,69.8,NA,6540,12500,NA,3490,54.1,1240,NA,1290,230,1380,1580,202,NA,269,NA,5420,95.2,408,156,897,2850,1470,NA,3920,NA,1640,164,88.1,73.2,470,NA,1260,312,346,191,471,212,669,NA,1700,302,360,34.3,656,121,3.07,22,12.5,12.9,NA,NA
"165_009_186","23_070",974,120,7.6,8.15,NA,636,720,NA,72.8,NA,74.8,NA,8710,NA,1690,NA,199,NA,NA,13300,NA,3490,264,3820,729,1830,73.9,NA,10700,451,NA,590,2000,12500,721,NA,5840,8430,28100,31900,11300,6830,1240,1500,675,29.7,8660,6290,7150,113000,NA,46.1,4300,89700,1710,794,1620,694,NA,NA,3510,NA,183,835,NA,2560,2330,NA,NA,968,648,352,615,NA,345,20.5,113,NA,1440,NA,266,201,257,567,670,491,NA,1500,1080,NA,85.8,119,82.9,203,420,64.7,94.4,115,307,NA,376,258,48.4,1090,NA,394,19.1,822,177,2.69,20.5,11,7.95,9.26
"165_009_189","23_085",1960,226,45.5,74.1,23.2,39.7,NA,NA,9.65,8.23,17.6,557,258,NA,482,138,NA,104,NA,4650,NA,2000,438,2100,843,1440,20.7,NA,3900,298,NA,706,2450,13100,355,253,8060,15300,29700,35200,13200,9130,485,3210,1920,3670,15500,4210,11600,167000,NA,25.2,9080,142000,1250,2790,2970,827,NA,83.6,6000,NA,555,1800,NA,6920,1770,NA,682,1070,708,349,580,NA,814,64.8,225,NA,2320,NA,703,332,503,2030,NA,NA,NA,NA,2840,593,NA,113,117,428,1130,567,608,738,469,NA,1250,358,31.3,1750,541,71.9,NA,596,146,5.08,27,6.88,7.81,NA
"165_009_198","23_009",1410,215,52.1,NA,NA,1130,NA,NA,247,152,NA,NA,14600,NA,6140,NA,NA,NA,1550,24500,NA,6780,700,9120,2090,4300,529,40.9,7410,1890,NA,1750,2920,8660,2310,464,3980,10600,22200,27500,16600,11100,4950,965,1620,228,14500,6650,11500,2e+05,NA,95.1,9170,163000,2630,1160,1980,1010,3.19,NA,5040,NA,543,936,NA,2840,2770,36,1130,287,888,706,554,1170,NA,243,178,NA,1850,NA,234,252,421,1470,1260,NA,NA,NA,1210,87.2,111,24.4,323,670,269,202,360,263,87.7,74.8,246,62.2,1080,NA,575,0.335,1650,235,2.54,16.4,18,12.6,17.9,NA
