pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
alle	vill	Chrom7	1	10000	0.0230577448930352	1872	5734	248680	14992568
alle	vill	Chrom7	10001	20000	0.0227948143681626	926	4234	185744	14848000
alle	vill	Chrom7	20001	30000	0.0042589330252	4921	2698	633492	13548060
alle	vill	Chrom7	30001	40000	0.0093180855569673	3697	2112	226656	7043904
alle	vill	Chrom7	40001	50000	0.0074277519212035	1307	1098	147824	1965232
alle	vill	Chrom7	50001	60000	0.0027346700124247	2731	898	328376	4254136
alle	vill	Chrom7	60001	70000	0.0066135323045616	1330	624	94352	3148096
alle	vill	Chrom7	70001	80000	0.003040638373178	1160	378	124316	1747972
alle	vill	Chrom7	80001	90000	0.0088668898226622	1327	996	112328	2117944
alle	vill	Chrom7	90001	100000	0.0062224286045971	1681	1072	172280	2632984
alle	vill	Chrom7	100001	110000	0.006826622491784	1409	1022	149708	2123332
alle	vill	Chrom7	110001	120000	0.0101115760111576	1390	1450	143400	2284872
alle	vill	Chrom7	120001	130000	0.0070602868012876	1991	1544	218688	3142560
alle	vill	Chrom7	130001	140000	0.0089490685248765	2045	1762	196892	3541348
alle	vill	Chrom7	140001	150000	0.0116559293724648	4611	5862	502920	8641512
alle	vill	Chrom7	150001	160000	0.0076123342345822	1501	946	124272	3086496
alle	vill	Chrom7	160001	170000	0.0035350922572857	2309	656	185568	3883728
alle	vill	Chrom7	170001	180000	0.0025737527847161	1997	610	237008	2984848
alle	vill	Chrom7	180001	190000	0.0049546435380135	2216	946	190932	4028844
alle	vill	Chrom7	190001	200000	0.0141372059918245	2326	4330	306284	4757764
alle	vill	Chrom7	200001	210000	0.0175541781658598	926	3104	176824	1464200
alle	vill	Chrom7	210001	220000	0.0068077041975242	3241	2026	297604	5244812
alle	vill	Chrom7	220001	230000	0.0114443484308807	3309	2172	189788	6453508
alle	vill	Chrom7	230001	240000	0.0023102987986446	542	180	77912	1021384
