pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_wc_fst	no_snps
alle	vill	Chrom4	1	10000	0.1582915970390634	76
alle	vill	Chrom4	10001	20000	0.2103494503020993	83
alle	vill	Chrom4	20001	30000	-0.0885042268100523	19
alle	vill	Chrom4	30001	40000	0.6245232343779799	82
alle	vill	Chrom4	40001	50000	0.0910553694042952	220
alle	vill	Chrom4	50001	60000	0.1546045144358145	120
alle	vill	Chrom4	60001	70000	0.2152121048752594	219
alle	vill	Chrom4	70001	80000	0.1687937020654112	155
alle	vill	Chrom4	80001	90000	0.4608512534719535	143
alle	vill	Chrom4	90001	100000	0.539659146577747	61
alle	vill	Chrom4	100001	110000	0.4114499715619576	69
alle	vill	Chrom4	110001	120000	0.3217089884681988	34
alle	vill	Chrom4	120001	130000	0.126564042441875	36
alle	vill	Chrom4	130001	140000	0.040673957420995	39
alle	vill	Chrom4	140001	150000	0.2103835026123681	69
alle	vill	Chrom4	150001	160000	0.3441291404948746	102
alle	vill	Chrom4	160001	170000	0.2341114499155012	86
alle	vill	Chrom4	170001	180000	0.2341844610423874	115
alle	vill	Chrom4	180001	190000	0.4259357607630298	25
alle	vill	Chrom4	190001	200000	0.270397509312058	129
alle	vill	Chrom4	200001	210000	0.1392809681668788	174
alle	vill	Chrom4	210001	220000	0.4018353189594622	70
alle	vill	Chrom4	220001	230000	0.6262565187303266	11
alle	vill	Chrom4	230001	240000	0.2399703863739383	94
alle	vill	Chrom4	240001	250000	0.343839769158408	75
alle	vill	Chrom4	250001	260000	0.3732441632378298	75
alle	vill	Chrom4	260001	270000	0.5647114942029868	72
alle	vill	Chrom4	270001	280000	0.5085794362618572	81
alle	vill	Chrom4	280001	290000	0.454903420444305	12
alle	vill	Chrom4	290001	300000	0.3968555985598312	14
alle	vill	Chrom4	300001	310000	0.3110053016001692	24
alle	vill	Chrom4	310001	320000	0.6090573075216262	11
alle	vill	Chrom4	320001	330000	0.521269835491073	32
alle	vill	Chrom4	330001	340000	0.2998490573033627	43
alle	vill	Chrom4	340001	350000	0.3924377072564197	5
alle	vill	Chrom4	350001	360000	0.2186334974427629	24
alle	vill	Chrom4	360001	370000	0.1346730258435216	18
alle	vill	Chrom4	370001	380000	0.0050715450099619	12
alle	vill	Chrom4	380001	390000	0.0536513524802306	11
alle	vill	Chrom4	390001	400000	0.6059853004952482	13
alle	vill	Chrom4	400001	410000	0.4466212575791732	20
alle	vill	Chrom4	410001	420000	0.437759254961498	17
alle	vill	Chrom4	420001	430000	0.4552840595943502	13
alle	vill	Chrom4	430001	440000	0.3902085590790129	62
alle	vill	Chrom4	440001	450000	0.0758053393711446	230
alle	vill	Chrom4	450001	460000	0.4617149028096914	31
alle	vill	Chrom4	460001	470000	0.4461865864765472	38
alle	vill	Chrom4	470001	480000	0.3345232282804438	45
alle	vill	Chrom4	480001	490000	0.3935659662145972	42
alle	vill	Chrom4	490001	500000	0.0929676568665497	19
alle	vill	Chrom4	500001	510000	0.3384133296333604	43
alle	vill	Chrom4	510001	520000	0.2551686785175691	18
alle	vill	Chrom4	520001	530000	0.5275617422597191	21
alle	vill	Chrom4	530001	540000	0.3394152523585999	55
alle	vill	Chrom4	540001	550000	0.308440584125509	73
alle	vill	Chrom4	550001	560000	0.2426228022880787	95
alle	vill	Chrom4	560001	570000	0.2919338579318711	49
alle	vill	Chrom4	570001	580000	0.2840100036630339	222
alle	vill	Chrom4	580001	590000	0.308126130435741	129
alle	vill	Chrom4	590001	600000	0.2536601484248272	150
alle	vill	Chrom4	600001	610000	0.4170471688314703	58
alle	vill	Chrom4	610001	620000	0.4015385934091549	18
alle	vill	Chrom4	620001	630000	0.4359052385795147	120
alle	vill	Chrom4	630001	640000	0.3061782468062861	73
alle	vill	Chrom4	640001	650000	0.2749260794089324	27
alle	vill	Chrom4	650001	660000	0.0050500280068973	10
alle	vill	Chrom4	660001	670000	NA	6
alle	vill	Chrom4	670001	680000	0.4647508228371349	5
alle	vill	Chrom4	680001	690000	0.1754042360066868	184
alle	vill	Chrom4	690001	700000	0.3658432882513983	43
alle	vill	Chrom4	700001	710000	0.4330624080849233	17
alle	vill	Chrom4	710001	720000	0.3029139756488075	37
alle	vill	Chrom4	720001	730000	0.3646050676351962	44
alle	vill	Chrom4	730001	740000	0.3222870710635388	19
alle	vill	Chrom4	740001	750000	0.4055573185266643	17
alle	vill	Chrom4	750001	760000	0.2857489898844285	42
alle	vill	Chrom4	760001	770000	0.3810329658669065	158
alle	vill	Chrom4	770001	780000	0.4717669659460303	32
alle	vill	Chrom4	780001	790000	0.6796375142393516	16
alle	vill	Chrom4	790001	800000	0.4855320040317598	34
alle	vill	Chrom4	800001	810000	0.3514790331128918	51
alle	vill	Chrom4	810001	820000	0.2776493101330633	20
alle	vill	Chrom4	820001	830000	0.4620409501814423	10
alle	vill	Chrom4	830001	840000	0.4916841798425321	16
alle	vill	Chrom4	840001	850000	0.3253246096471882	35
alle	vill	Chrom4	850001	860000	0.2739627492427398	27
alle	vill	Chrom4	860001	870000	0.4318258471310655	63
alle	vill	Chrom4	870001	880000	0.4912288352083208	59
alle	vill	Chrom4	880001	890000	0.3990461160745869	32
alle	vill	Chrom4	890001	900000	0.2522857973803186	60
alle	vill	Chrom4	900001	910000	0.4043948974642425	87
alle	vill	Chrom4	910001	920000	0.1705474315413844	100
alle	vill	Chrom4	920001	930000	0.2907493249958479	47
alle	vill	Chrom4	930001	940000	0.4283760544494444	15
alle	vill	Chrom4	940001	950000	0.3808562121064651	17
alle	vill	Chrom4	950001	960000	0.0881180237462837	132
alle	vill	Chrom4	960001	970000	0.2809638368734424	59
alle	vill	Chrom4	970001	980000	0.2783103764967283	73
alle	vill	Chrom4	980001	990000	0.1674469025734674	129
alle	vill	Chrom4	990001	1000000	0.3790041564606677	32
alle	vill	Chrom4	1000001	1010000	0.5299225668358973	39
alle	vill	Chrom4	1010001	1020000	0.4613500947304779	117
alle	vill	Chrom4	1020001	1030000	0.3688201104880759	48
alle	vill	Chrom4	1030001	1040000	0.4229395253891299	13
alle	vill	Chrom4	1040001	1050000	0.3756877424379975	84
alle	vill	Chrom4	1050001	1060000	0.0523843919166188	147
alle	vill	Chrom4	1060001	1070000	0.1707744811326199	70
alle	vill	Chrom4	1070001	1080000	0.4772897222668631	17
alle	vill	Chrom4	1080001	1090000	0.4786858299385984	16
alle	vill	Chrom4	1090001	1100000	0.2058111751464906	69
alle	vill	Chrom4	1100001	1110000	0.3810689082385666	78
alle	vill	Chrom4	1110001	1120000	0.2766953417897269	40
alle	vill	Chrom4	1120001	1130000	0.4118767572606641	45
alle	vill	Chrom4	1130001	1140000	0.2248686693121913	14
alle	vill	Chrom4	1140001	1150000	0.4619971944407918	52
alle	vill	Chrom4	1150001	1160000	0.455537930084721	14
alle	vill	Chrom4	1160001	1170000	0.6821763728925183	22
alle	vill	Chrom4	1170001	1180000	0.613253950325646	22
alle	vill	Chrom4	1180001	1190000	0.529964535005517	21
alle	vill	Chrom4	1190001	1200000	0.3708198842943971	73
alle	vill	Chrom4	1200001	1210000	0.5158065901855551	125
alle	vill	Chrom4	1210001	1220000	0.4844997953535563	41
alle	vill	Chrom4	1220001	1230000	0.419681156317808	59
alle	vill	Chrom4	1230001	1240000	0.3869851259502253	83
alle	vill	Chrom4	1240001	1250000	0.5845057382196986	96
alle	vill	Chrom4	1250001	1260000	0.6062569962361746	17
alle	vill	Chrom4	1260001	1270000	0.6431513570519668	9
alle	vill	Chrom4	1270001	1280000	0.3293338679662359	10
alle	vill	Chrom4	1280001	1290000	0.5613606919369265	27
alle	vill	Chrom4	1290001	1300000	0.3593951119559466	18
alle	vill	Chrom4	1300001	1310000	0.5075463685215875	149
alle	vill	Chrom4	1310001	1320000	0.2577418678925989	30
alle	vill	Chrom4	1320001	1330000	0.3832711444249919	10
alle	vill	Chrom4	1330001	1340000	0.2605610543422579	44
alle	vill	Chrom4	1340001	1350000	0.4194111905115853	25
alle	vill	Chrom4	1350001	1360000	0.3346385180647329	129
alle	vill	Chrom4	1360001	1370000	0.4761637471508347	57
alle	vill	Chrom4	1370001	1380000	0.3822574392506487	61
alle	vill	Chrom4	1380001	1390000	0.344384471789658	25
alle	vill	Chrom4	1390001	1400000	0.4960524690366206	49
alle	vill	Chrom4	1400001	1410000	0.3240250061125515	26
alle	vill	Chrom4	1410001	1420000	0.3996211536662979	70
alle	vill	Chrom4	1420001	1430000	0.1787254748686171	13
alle	vill	Chrom4	1430001	1440000	0.2767608013903582	27
alle	vill	Chrom4	1440001	1450000	0.2206457119257895	10
alle	vill	Chrom4	1450001	1460000	0.3738048404089341	47
alle	vill	Chrom4	1460001	1470000	0.1392889007094442	95
alle	vill	Chrom4	1470001	1480000	0.4312683755489754	52
alle	vill	Chrom4	1480001	1490000	0.0013237138497883	10
alle	vill	Chrom4	1490001	1500000	0.3969730390821088	19
alle	vill	Chrom4	1500001	1510000	0.0889094066786263	98
alle	vill	Chrom4	1510001	1520000	0.3488114875031976	171
alle	vill	Chrom4	1520001	1530000	0.3821964174984089	48
alle	vill	Chrom4	1530001	1540000	0.0489067930893477	38
alle	vill	Chrom4	1540001	1550000	0.282157651975743	29
alle	vill	Chrom4	1550001	1560000	0.4510062900496788	12
alle	vill	Chrom4	1560001	1570000	0.2455408924774307	17
alle	vill	Chrom4	1570001	1580000	0.3757452253464804	20
alle	vill	Chrom4	1580001	1590000	0.2091309742642069	30
alle	vill	Chrom4	1590001	1600000	0.3550102922105299	65
alle	vill	Chrom4	1600001	1610000	0.5326554416958283	26
alle	vill	Chrom4	1610001	1620000	0.4572896700950796	86
alle	vill	Chrom4	1620001	1630000	0.3810278710639787	27
alle	vill	Chrom4	1630001	1640000	0.2005624558456038	204
alle	vill	Chrom4	1640001	1650000	0.385497646359776	18
alle	vill	Chrom4	1650001	1660000	0.4079667558303227	32
alle	vill	Chrom4	1660001	1670000	0.598500274000209	50
alle	vill	Chrom4	1670001	1680000	0.3294047443318398	102
alle	vill	Chrom4	1680001	1690000	0.2678882079064085	50
alle	vill	Chrom4	1690001	1700000	0.4743900003477289	16
alle	vill	Chrom4	1700001	1710000	0.4676642975088569	29
alle	vill	Chrom4	1710001	1720000	0.1800285700810534	51
alle	vill	Chrom4	1720001	1730000	0.1354814855729022	412
alle	vill	Chrom4	1730001	1740000	0.2915452327593517	60
alle	vill	Chrom4	1740001	1750000	0.4584946918546353	44
alle	vill	Chrom4	1750001	1760000	0.2110005884827734	59
alle	vill	Chrom4	1760001	1770000	0.2027320633139579	32
alle	vill	Chrom4	1770001	1780000	0.2039925440585861	38
alle	vill	Chrom4	1780001	1790000	0.2203347489382963	19
alle	vill	Chrom4	1790001	1800000	0.2254202589927047	29
alle	vill	Chrom4	1800001	1810000	0.3116444194415101	116
alle	vill	Chrom4	1810001	1820000	0.4134293631047119	70
alle	vill	Chrom4	1820001	1830000	0.4473999718375029	98
alle	vill	Chrom4	1830001	1840000	0.3517184722485299	60
alle	vill	Chrom4	1840001	1850000	0.0576889479655958	8
alle	vill	Chrom4	1850001	1860000	0.3813719460614897	56
alle	vill	Chrom4	1860001	1870000	0.3026265148167463	219
alle	vill	Chrom4	1870001	1880000	0.6391576987408714	14
alle	vill	Chrom4	1880001	1890000	0.5482742537313432	11
alle	vill	Chrom4	1890001	1900000	0.2958269925622575	33
alle	vill	Chrom4	1900001	1910000	0.4179644992155926	82
alle	vill	Chrom4	1910001	1920000	0.6374433963515127	24
alle	vill	Chrom4	1920001	1930000	0.4385323025458402	40
alle	vill	Chrom4	1930001	1940000	0.3069847659452595	54
alle	vill	Chrom4	1940001	1950000	0.4255590576131927	13
alle	vill	Chrom4	1950001	1960000	0.2392359739255988	129
alle	vill	Chrom4	1960001	1970000	0.3110284749849126	96
alle	vill	Chrom4	1970001	1980000	0.5467693383692264	78
alle	vill	Chrom4	1980001	1990000	0.3180748096770449	105
alle	vill	Chrom4	1990001	2000000	0.12171865195441	88
alle	vill	Chrom4	2000001	2010000	0.5507521302130544	15
alle	vill	Chrom4	2010001	2020000	0.4127021566849699	28
alle	vill	Chrom4	2020001	2030000	0.2927589902435327	51
alle	vill	Chrom4	2030001	2040000	0.4543100628764064	36
alle	vill	Chrom4	2040001	2050000	0.4697714600000131	57
