pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
alle	Chrom3	1	10000	NA	0	NA	NA	NA
vill	Chrom3	1	10000	NA	0	NA	NA	NA
alle	Chrom3	10001	20000	0.0003304328670558	1010	3	9079	1169637
vill	Chrom3	10001	20000	0.0	806	0	4917	780063
alle	Chrom3	20001	30000	0.0012393280088129	1701	27	21786	2360242
vill	Chrom3	20001	30000	0.0018789144050104	2006	36	19160	1567180
alle	Chrom3	30001	40000	0.0021613811781428	3472	739	341911	2987063
vill	Chrom3	30001	40000	0.0053858338990721	3027	238	44190	2172780
alle	Chrom3	40001	50000	NA	0	NA	NA	NA
vill	Chrom3	40001	50000	NA	0	NA	NA	NA
alle	Chrom3	50001	60000	NA	0	NA	NA	NA
vill	Chrom3	50001	60000	NA	0	NA	NA	NA
alle	Chrom3	60001	70000	NA	0	NA	NA	NA
vill	Chrom3	60001	70000	NA	0	NA	NA	NA
vill	Chrom3	70001	80000	0.0	32	0	304	19856
alle	Chrom3	70001	80000	0.0	32	0	1301	28971
alle	Chrom3	80001	90000	0.0013249917456015	4260	618	466418	3565434
vill	Chrom3	80001	90000	0.0034413407821229	4248	231	67125	2617935
alle	Chrom3	90001	100000	0.001142831917873	1845	466	407759	1337611
vill	Chrom3	90001	100000	0.0011345908381789	1806	40	35255	1127095
vill	Chrom3	100001	110000	0.0034760953591532	2413	268	77098	1706432
alle	Chrom3	100001	110000	0.0063614203887244	2793	3163	497216	2180910
vill	Chrom3	110001	120000	0.0141116528476151	4033	2958	209614	2360786
alle	Chrom3	110001	120000	0.0088785481216875	4080	8212	924926	2934754
vill	Chrom3	120001	130000	0.0057098414143713	1303	301	52716	768174
alle	Chrom3	120001	130000	0.0028469970348063	1277	554	194591	1038047
alle	Chrom3	130001	140000	0.0011469078397369	2400	166	144737	2126609
vill	Chrom3	130001	140000	0.0019879602407951	2241	71	35715	1476915
vill	Chrom3	140001	150000	0.0010275145564562	1035	27	26277	625773
