chr	windowStart	windowEnd	D	f_d	f_dM	d_f
Chrom1	75887	87161	-0.180336	-0.126188	-0.089605	-0.075892
Chrom1	83056	89326	-0.033254	-0.035878	-0.028152	-0.018100
Chrom1	87190	97220	-0.027279	-0.033059	-0.024574	-0.008810
Chrom1	89378	100502	-0.112884	-0.071657	-0.053683	-0.055286
Chrom1	97258	101167	0.041758	0.018031	0.013122	0.013888
Chrom1	100523	101542	-0.047401	-0.081334	-0.032360	-0.002880
Chrom1	101169	102983	0.002509	0.001608	0.001163	0.014959
Chrom1	101553	104058	0.083292	0.025057	0.021780	0.029282
Chrom1	102986	108207	-0.029278	-0.010152	-0.008164	-0.032368
Chrom1	104244	113626	-0.009731	-0.005561	-0.004260	-0.040278
Chrom1	108247	124783	0.090601	0.080456	0.053603	0.031348
Chrom1	113669	129067	0.081302	0.055097	0.038853	0.036787
Chrom1	124788	135305	0.017361	0.012497	0.010123	0.010358
Chrom1	129073	137662	0.167230	0.132891	0.101339	0.104806
Chrom1	135336	151759	0.232111	0.183891	0.120564	0.113524
Chrom1	137925	160600	0.120936	0.087907	0.047551	0.041200
Chrom1	151916	162286	0.075879	0.058276	0.036033	0.025393
Chrom1	160629	174262	0.145116	0.052400	0.040739	0.026270
Chrom1	162294	179663	0.235229	0.046805	0.037531	0.030663
Chrom1	174268	181267	0.117919	0.055601	0.041032	0.038541
Chrom1	179698	181938	0.022411	0.022405	0.013395	0.013222
Chrom1	181272	183309	0.020418	0.014479	0.010521	0.013574
Chrom1	182240	184048	-0.050095	-0.047787	-0.032969	-0.015573
Chrom1	183337	184487	-0.095485	-0.165320	-0.095682	-0.055002
Chrom1	184051	198376	0.005656	0.002645	0.001580	-0.004485
Chrom1	184542	203157	-0.108470	-0.059397	-0.031836	-0.058618
Chrom1	198886	209870	-0.314003	-1.044640	-0.103348	-0.083874
Chrom1	203177	214468	-0.451190	-0.604593	-0.073906	-0.053548
Chrom1	209909	216856	-0.222418	-0.152748	-0.041664	-0.042708
Chrom1	214544	219116	-0.098603	-0.071431	-0.020014	-0.022315
Chrom1	216877	222274	-0.190305	-0.072058	-0.026864	-0.030711
Chrom1	219182	223483	-0.078458	-0.018986	-0.010049	-0.015288
Chrom1	222388	228483	0.583058	0.225880	0.136512	0.154972
Chrom1	223491	239413	0.481110	0.256036	0.161032	0.218088
Chrom1	228485	247919	0.089099	0.032062	0.023359	0.043642
Chrom1	239491	251151	0.287015	0.104201	0.081556	0.176058
Chrom1	248003	257969	0.399088	0.168000	0.124559	0.256832
Chrom1	251193	262489	0.145566	0.057519	0.038583	0.036443
Chrom1	258281	271662	0.070974	0.018017	0.010691	0.022651
Chrom1	263310	283759	0.535993	0.124271	0.080867	0.353484
Chrom1	272059	293589	0.365173	0.091648	0.066548	0.223143
Chrom1	284065	298960	0.082408	0.013200	0.009109	0.031966
Chrom1	294335	311190	0.092711	0.012068	0.008483	0.016107
Chrom1	298994	319595	0.203620	0.028077	0.021502	0.027070
Chrom1	311191	338399	0.284055	0.042867	0.034225	0.066552
Chrom1	319840	350975	-0.272089	-0.050099	-0.037629	-0.100647
Chrom1	340534	353348	-0.530638	-0.116286	-0.082764	-0.317050
Chrom1	350981	355496	-0.376402	-0.090007	-0.066460	-0.205580
Chrom1	353705	363248	-0.380378	-0.102537	-0.075081	-0.175169
Chrom1	355669	370140	-0.159405	-0.038564	-0.026540	-0.132824
Chrom1	363921	373904	0.503807	0.146143	0.101778	0.325016
Chrom1	370147	380894	0.668834	0.198987	0.148457	0.268271
Chrom1	373915	388113	0.415320	0.044276	0.037206	0.038144
Chrom1	381375	389701	0.279245	0.048143	0.042508	0.043979
Chrom1	388151	391338	0.139992	0.048892	0.040508	0.045073
Chrom1	389713	392772	0.276673	0.070360	0.061649	0.057955
Chrom1	391368	396092	0.389554	0.059140	0.052162	0.061706
Chrom1	392922	400781	0.307380	0.051554	0.042361	0.034394
Chrom1	396106	414899	0.606482	0.112858	0.095538	0.087476
Chrom1	400787	423899	0.871008	0.144604	0.132824	0.192961
Chrom1	415344	435786	0.772531	0.087696	0.071650	0.087291
Chrom1	424168	443824	0.500569	0.038594	0.029533	0.026253
Chrom1	436037	448006	0.586850	0.053082	0.046633	0.039057
Chrom1	444646	457418	0.713401	0.062005	0.057415	0.067232
Chrom1	449060	463656	0.483568	0.046376	0.041914	0.045411
Chrom1	457522	476539	0.111977	0.011294	0.009432	0.005311
Chrom1	463874	482107	-0.071508	-0.007930	-0.006622	-0.005524
Chrom1	477436	492287	-0.107537	-0.014164	-0.010943	-0.008698
Chrom1	482590	506297	0.078438	0.011669	0.008710	0.009129
Chrom1	492303	510759	0.168189	0.030263	0.022976	0.038815
